health_zone,date,value
Masereka,29/06/2026,1
Vuhovi,29/06/2026,1
Mabalako,29/06/2026,1
Musienene,29/06/2026,3
Miti Murhesa,29/06/2026,3
NA,29/06/2026,17
Bunia,30/06/2026,387
Rwampara,30/06/2026,301
Mongbwalu,30/06/2026,264
Nyankunde,30/06/2026,95
Nizi,30/06/2026,61
Lita,30/06/2026,29
Komanda,30/06/2026,18
Bambu,30/06/2026,16
Kilo,30/06/2026,9
Mangala,30/06/2026,24
Tchomia,30/06/2026,14
Damas,30/06/2026,5
Aungba,30/06/2026,6
Rimba,30/06/2026,3
Aru,30/06/2026,3
Mambasa,30/06/2026,2
Logo,30/06/2026,7
Drodro,30/06/2026,3
Gety,30/06/2026,1
Kambala,30/06/2026,2
Nia Nia,30/06/2026,12
Fataki,30/06/2026,1
Mandima,30/06/2026,2
Lolwa,30/06/2026,1
Butembo,30/06/2026,34
Katwa,30/06/2026,47
Beni,30/06/2026,24
Oicha,30/06/2026,3
Kalunguta,30/06/2026,2
Kyondo,30/06/2026,3
Goma,30/06/2026,1
Masereka,30/06/2026,1
Vuhovi,30/06/2026,1
Mabalako,30/06/2026,1
Musienene,30/06/2026,3
Miti Murhesa,30/06/2026,3
NA,30/06/2026,17
Bunia,01/07/2026,416
Rwampara,01/07/2026,308
Mongbwalu,01/07/2026,270
Nyankunde,01/07/2026,95
Nizi,01/07/2026,65
Lita,01/07/2026,32
Komanda,01/07/2026,19
Bambu,01/07/2026,16
Kilo,01/07/2026,9
Mangala,01/07/2026,24
Tchomia,01/07/2026,14
Damas,01/07/2026,5
Aungba,01/07/2026,6
Rimba,01/07/2026,3
Aru,01/07/2026,3
Mambasa,01/07/2026,2
Logo,01/07/2026,7
Drodro,01/07/2026,3
Gety,01/07/2026,1
Kambala,01/07/2026,2
Nia Nia,01/07/2026,12
Fataki,01/07/2026,1
Mandima,01/07/2026,2
Lolwa,01/07/2026,1
Butembo,01/07/2026,34
Katwa,01/07/2026,49
Beni,01/07/2026,26
Oicha,01/07/2026,3
Kalunguta,01/07/2026,2
Kyondo,01/07/2026,3
Goma,01/07/2026,1
Masereka,01/07/2026,1
Vuhovi,01/07/2026,1
Mabalako,01/07/2026,1
Musienene,01/07/2026,3
Miti Murhesa,01/07/2026,3
NA,01/07/2026,17
Bunia,02/07/2026,426
Rwampara,02/07/2026,322
Mongbwalu,02/07/2026,273
Nyankunde,02/07/2026,95
Nizi,02/07/2026,65
Lita,02/07/2026,33
Komanda,02/07/2026,19
Bambu,02/07/2026,18
Kilo,02/07/2026,9
Mangala,02/07/2026,24
Tchomia,02/07/2026,15
Damas,02/07/2026,5
Aungba,02/07/2026,6
Rimba,02/07/2026,3
Aru,02/07/2026,3
Mambasa,02/07/2026,2
Logo,02/07/2026,7
Drodro,02/07/2026,3
Gety,02/07/2026,1
Kambala,02/07/2026,2
Nia Nia,02/07/2026,12
Fataki,02/07/2026,1
Mandima,02/07/2026,4
Lolwa,02/07/2026,1
Butembo,02/07/2026,38
Katwa,02/07/2026,51
Beni,02/07/2026,28
Oicha,02/07/2026,3
Kalunguta,02/07/2026,2
Kyondo,02/07/2026,3
Goma,02/07/2026,2
Masereka,02/07/2026,1
Vuhovi,02/07/2026,1
Mabalako,02/07/2026,1
Musienene,02/07/2026,3
Miti Murhesa,02/07/2026,3
NA,02/07/2026,17
Bunia,03/07/2026,431
Rwampara,03/07/2026,333
Mongbwalu,03/07/2026,276
Nyankunde,03/07/2026,95
Nizi,03/07/2026,65
Lita,03/07/2026,33
Komanda,03/07/2026,19
Bambu,03/07/2026,18
Kilo,03/07/2026,9
Mangala,03/07/2026,26
Tchomia,03/07/2026,15
Damas,03/07/2026,5
Aungba,03/07/2026,6
Rimba,03/07/2026,3
Aru,03/07/2026,3
Mambasa,03/07/2026,2
Logo,03/07/2026,7
Drodro,03/07/2026,3
Gety,03/07/2026,1
Kambala,03/07/2026,2
Nia Nia,03/07/2026,12
Fataki,03/07/2026,1
Mandima,03/07/2026,4
Lolwa,03/07/2026,1
Butembo,03/07/2026,40
Katwa,03/07/2026,51
Beni,03/07/2026,29
Oicha,03/07/2026,3
Kalunguta,03/07/2026,2
Kyondo,03/07/2026,4
Goma,03/07/2026,1
Masereka,03/07/2026,2
Vuhovi,03/07/2026,1
Mabalako,03/07/2026,1
Musienene,03/07/2026,4
Miti Murhesa,03/07/2026,3
NA,03/07/2026,17
Bunia,04/07/2026,438
Rwampara,04/07/2026,344
Mongbwalu,04/07/2026,278
Nyankunde,04/07/2026,95
Nizi,04/07/2026,72
Lita,04/07/2026,33
Komanda,04/07/2026,22
Bambu,04/07/2026,18
Kilo,04/07/2026,9
Mangala,04/07/2026,26
Tchomia,04/07/2026,15
Damas,04/07/2026,5
Aungba,04/07/2026,6
Rimba,04/07/2026,3
Aru,04/07/2026,3
Mambasa,04/07/2026,2
Logo,04/07/2026,7
Drodro,04/07/2026,3
Gety,04/07/2026,1
Kambala,04/07/2026,2
Nia Nia,04/07/2026,12
Fataki,04/07/2026,1
Mandima,04/07/2026,4
Lolwa,04/07/2026,1
Butembo,04/07/2026,40
Katwa,04/07/2026,52
Beni,04/07/2026,29
Oicha,04/07/2026,3
Kalunguta,04/07/2026,2
Kyondo,04/07/2026,4
Goma,04/07/2026,1
Masereka,04/07/2026,2
Vuhovi,04/07/2026,1
Mabalako,04/07/2026,1
Musienene,04/07/2026,6
Miti Murhesa,04/07/2026,3
NA,04/07/2026,17
Bunia,05/07/2026,452
Rwampara,05/07/2026,349
Mongbwalu,05/07/2026,288
Nyankunde,05/07/2026,96
Nizi,05/07/2026,78
Lita,05/07/2026,33
Komanda,05/07/2026,22
Bambu,05/07/2026,25
Kilo,05/07/2026,9
Mangala,05/07/2026,33
Tchomia,05/07/2026,15
Damas,05/07/2026,5
Aungba,05/07/2026,6
Rimba,05/07/2026,4
Aru,05/07/2026,3
Mambasa,05/07/2026,2
Logo,05/07/2026,7
Drodro,05/07/2026,3
Gety,05/07/2026,1
Kambala,05/07/2026,2
Nia Nia,05/07/2026,20
Fataki,05/07/2026,2
Mandima,05/07/2026,4
Lolwa,05/07/2026,1
Butembo,05/07/2026,40
Katwa,05/07/2026,52
Beni,05/07/2026,29
Oicha,05/07/2026,3
Kalunguta,05/07/2026,2
Kyondo,05/07/2026,4
Goma,05/07/2026,1
Masereka,05/07/2026,3
Vuhovi,05/07/2026,1
Mabalako,05/07/2026,1
Musienene,05/07/2026,8
Miti Murhesa,05/07/2026,3
NA,05/07/2026,17
Bunia,06/07/2026,472
Rwampara,06/07/2026,357
Mongbwalu,06/07/2026,298
Nyankunde,06/07/2026,96
Nizi,06/07/2026,84
Lita,06/07/2026,40
Komanda,06/07/2026,23
Bambu,06/07/2026,28
Kilo,06/07/2026,9
Mangala,06/07/2026,39
Tchomia,06/07/2026,15
Damas,06/07/2026,5
Aungba,06/07/2026,6
Rimba,06/07/2026,4
Aru,06/07/2026,3
Mambasa,06/07/2026,4
Logo,06/07/2026,7
Drodro,06/07/2026,3
Gety,06/07/2026,1
Kambala,06/07/2026,2
Nia Nia,06/07/2026,33
Fataki,06/07/2026,3
Mandima,06/07/2026,5
Lolwa,06/07/2026,1
Boga,06/07/2026,1
Butembo,06/07/2026,41
Katwa,06/07/2026,56
Beni,06/07/2026,29
Oicha,06/07/2026,3
Kalunguta,06/07/2026,2
Kyondo,06/07/2026,4
Goma,06/07/2026,1
Masereka,06/07/2026,3
Vuhovi,06/07/2026,1
Mabalako,06/07/2026,1
Musienene,06/07/2026,8
Miti Murhesa,06/07/2026,3
NA,06/07/2026,17
Bunia,07/07/2026,483
Rwampara,07/07/2026,364
Mongbwalu,07/07/2026,310
Nyankunde,07/07/2026,97
Nizi,07/07/2026,94
Lita,07/07/2026,40
Komanda,07/07/2026,23
Bambu,07/07/2026,28
Kilo,07/07/2026,9
Mangala,07/07/2026,40
Tchomia,07/07/2026,15
Damas,07/07/2026,5
Aungba,07/07/2026,6
Rimba,07/07/2026,4
Aru,07/07/2026,3
Mambasa,07/07/2026,4
Logo,07/07/2026,7
Drodro,07/07/2026,3
Gety,07/07/2026,1
Kambala,07/07/2026,2
Nia Nia,07/07/2026,35
Fataki,07/07/2026,4
Mandima,07/07/2026,5
Lolwa,07/07/2026,1
Boga,07/07/2026,1
Butembo,07/07/2026,42
Katwa,07/07/2026,61
Beni,07/07/2026,29
Oicha,07/07/2026,3
Kalunguta,07/07/2026,2
Kyondo,07/07/2026,4
Goma,07/07/2026,1
Masereka,07/07/2026,3
Vuhovi,07/07/2026,1
Mabalako,07/07/2026,1
Musienene,07/07/2026,8
Miti Murhesa,07/07/2026,3
NA,07/07/2026,17
Bunia,08/07/2026,487
Rwampara,08/07/2026,370
Mongbwalu,08/07/2026,315
Nyankunde,08/07/2026,97
Nizi,08/07/2026,104
Lita,08/07/2026,41
Komanda,08/07/2026,23
Bambu,08/07/2026,29
Kilo,08/07/2026,9
Mangala,08/07/2026,43
Tchomia,08/07/2026,15
Damas,08/07/2026,5
Aungba,08/07/2026,6
Rimba,08/07/2026,4
Aru,08/07/2026,3
Mambasa,08/07/2026,4
Logo,08/07/2026,7
Drodro,08/07/2026,3
Gety,08/07/2026,1
Kambala,08/07/2026,2
Nia Nia,08/07/2026,35
Fataki,08/07/2026,4
Mandima,08/07/2026,5
Lolwa,08/07/2026,1
Boga,08/07/2026,1
Butembo,08/07/2026,42
Katwa,08/07/2026,61
Beni,08/07/2026,29
Oicha,08/07/2026,3
Kalunguta,08/07/2026,2
Kyondo,08/07/2026,4
Goma,08/07/2026,1
Masereka,08/07/2026,3
Vuhovi,08/07/2026,1
Mabalako,08/07/2026,1
Musienene,08/07/2026,8
Miti Murhesa,08/07/2026,3
NA,08/07/2026,17
Bunia,09/07/2026,495
Rwampara,09/07/2026,373
Mongbwalu,09/07/2026,327
Nyankunde,09/07/2026,97
Nizi,09/07/2026,107
Lita,09/07/2026,42
Komanda,09/07/2026,25
Bambu,09/07/2026,29
Kilo,09/07/2026,9
Mangala,09/07/2026,43
Tchomia,09/07/2026,17
Damas,09/07/2026,5
Aungba,09/07/2026,6
Rimba,09/07/2026,4
Aru,09/07/2026,3
Mambasa,09/07/2026,5
Logo,09/07/2026,7
Drodro,09/07/2026,3
Gety,09/07/2026,1
Kambala,09/07/2026,2
Nia Nia,09/07/2026,35
Fataki,09/07/2026,4
Mandima,09/07/2026,5
Lolwa,09/07/2026,1
Boga,09/07/2026,1
Butembo,09/07/2026,43
Katwa,09/07/2026,66
Beni,09/07/2026,30
Oicha,09/07/2026,3
Kalunguta,09/07/2026,2
Kyondo,09/07/2026,5
Goma,09/07/2026,1
Masereka,09/07/2026,3
Vuhovi,09/07/2026,1
Mabalako,09/07/2026,1
Musienene,09/07/2026,9
Miti Murhesa,09/07/2026,3
NA,09/07/2026,17
Bunia,10/07/2026,503
Rwampara,10/07/2026,384
Mongbwalu,10/07/2026,329
Nyankunde,10/07/2026,97
Nizi,10/07/2026,110
Lita,10/07/2026,45
Komanda,10/07/2026,25
Bambu,10/07/2026,31
Kilo,10/07/2026,9
Mangala,10/07/2026,50
Tchomia,10/07/2026,19
Damas,10/07/2026,5
Aungba,10/07/2026,6
Rimba,10/07/2026,4
Aru,10/07/2026,3
Mambasa,10/07/2026,5
Logo,10/07/2026,7
Drodro,10/07/2026,4
Gety,10/07/2026,1
Kambala,10/07/2026,2
Nia Nia,10/07/2026,35
Fataki,10/07/2026,4
Mandima,10/07/2026,8
Lolwa,10/07/2026,1
Boga,10/07/2026,1
Butembo,10/07/2026,43
Katwa,10/07/2026,67
Beni,10/07/2026,30
Oicha,10/07/2026,3
Kalunguta,10/07/2026,2
Kyondo,10/07/2026,5
Goma,10/07/2026,1
Masereka,10/07/2026,3
Vuhovi,10/07/2026,1
Mabalako,10/07/2026,1
Musienene,10/07/2026,9
Miti Murhesa,10/07/2026,3
Wamba,10/07/2026,1
Makiso Kisangani,10/07/2026,2
Mangobo,10/07/2026,1
Lubunga (Tshopo),10/07/2026,1
NA,10/07/2026,17
Bunia,11/07/2026,507
Rwampara,11/07/2026,393
Mongbwalu,11/07/2026,336
Nyankunde,11/07/2026,99
Nizi,11/07/2026,121
Lita,11/07/2026,48
Komanda,11/07/2026,27
Bambu,11/07/2026,31
Kilo,11/07/2026,9
Mangala,11/07/2026,50
Tchomia,11/07/2026,19
Damas,11/07/2026,5
Aungba,11/07/2026,6
Rumba,11/07/2026,4
Aru,11/07/2026,3
Mambasa,11/07/2026,5
Logo,11/07/2026,7
Drodro,11/07/2026,4
Gety,11/07/2026,1
Kambala,11/07/2026,2
Nia-Nia,11/07/2026,36
Fataki,11/07/2026,4
Mandima,11/07/2026,8
Lolwa,11/07/2026,1
Boga,11/07/2026,1
Ariwara,11/07/2026,1
Butembo,11/07/2026,44
Katwa,11/07/2026,71
Beni,11/07/2026,30
Oicha,11/07/2026,3
Kalunguta,11/07/2026,2
Kyondo,11/07/2026,7
Goma,11/07/2026,1
Masereka,11/07/2026,3
Vuhovi,11/07/2026,1
Mabalako,11/07/2026,1
Musienene,11/07/2026,10
Miti-Murhesa,11/07/2026,3
Wamba,11/07/2026,1
Makiso Kisangani,11/07/2026,2
Mangobo,11/07/2026,1
Lubunga (Tshopo),11/07/2026,1
NA,11/07/2026,17
